Players,AB,R,HR,RBI,SB,AVG,VAL,AUC VAL,POS
Adalberto Mondesi SS | KC,534,82.12084442,17.79877147,68.42314053,58.66295008,0.265,20.0149401,34,6
Ronald Acuna CF | ATL,581,122,36,88,37,0.269,19.151354,42,7
Trea Turner SS | WAS ,634,113.4450882,24.6382827,83.54226763,38.76692009,0.301,18.33028191,38,6
Jose Ramirez 3B | CLE,578,103.4368973,37.14949759,108.6458377,29.72425902,0.272333333,17.89287789,39,5
Christian Yelich LF | MIL,553,108,38,90,23,0.287,16.343742,37,7
Juan Soto LF | WAS ,580,100,38,104,15,0.291,14.951606,39,7
Jon Berti 2B | MIA ,516,104.8125,12.09375,48.375,34.265625,0.273,14.743593,9,4
Jon Berti 2B | MIA ,516,104.8125,12.09375,48.375,34.265625,0.273,14.743593,9,5
Starling Marte CF | MIA,572,95,25,78,24,0.28,14.53748,25,7
Francisco Lindor SS | NYM,622,101.8367044,30.04232307,78.23425914,20.74048821,0.273333333,14.50817395,32,6
Bryce Harper RF | PHI,540,98,33,101,17,0.261,14.482626,32,7
Whit Merrifield RF | KC,591,102,22,81,22,0.294,14.264004,33,7
Whit Merrifield RF | KC,591,87.99031296,15.5181874,63.93993158,29.3447662,0.296,14.23957595,33,4
George Springer CF | TOR ,571,111,45,107,6,0.273,14.063218,28,7
Byron Buxton CF | MIN ,571,88,32,98,17,0.259,13.994694,13,7
Marcell Ozuna LF | ATL,582,95,39,119,7,0.278,13.625548,28,7
DJ LeMahieu 2B | NYY,566,95.69161287,23.4917052,76.71360254,18.6398062,0.317,13.61965478,34,4
DJ LeMahieu 2B | NYY,566,95.69161287,23.4917052,76.71360254,18.6398062,0.317,13.61965478,34,5
Xander Bogaerts SS | BOS,586,97.05016989,29.84057102,103.3830005,12.01652907,0.299,13.55221543,32,6
Bo Bichette SS | TOR,588,91.02439024,28.45121951,86.47560976,15.56097561,0.306,13.52470576,32,6
Tim Anderson SS | CHW ,582,99.87104973,23.18200478,63.29950674,20.18189506,0.299,13.4787676,32,6
Freddie Freeman 1B | ATL ,571,110.336433,30.76092786,115.8977106,6.771541422,0.315,13.47341567,36,3
Randy Arozarena LF | TB ,555,104,36,90,10,0.278,13.363548,23,7
Javier Baez SS | CHC ,619,94.06665988,30.28056854,93.12891201,14.21277848,0.258,13.30182872,21,6
Aaron Judge RF | NYY ,584,104,41,104,6,0.26,13.28716,28,7
Kyle Tucker LF | HOU ,541,86,27,101,14,0.283,13.156878,32,7
Brandon Lowe 2B | TB ,563,84.18738443,36.58691885,102.4680104,9.130715236,0.2695,12.95990687,22,4
Lourdes Gurriel LF | TOR ,564,93,34,94,9,0.3,12.9588,20,7
Cavan Biggio 2B | TOR ,539,104,22,77,16,0.264,12.752024,23,7
Cavan Biggio 2B | TOR ,539,100.4707627,21.98079096,70.84237288,18.00819209,0.242,12.6846857,23,4
